mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2.0854725360870363,0.16961502938001277,0.007728385925292969,0.0011530719099299457,0.1,50,"{'learning_rate': 0.1, 'n_estimators': 50}",0.425,0.525,0.375,0.425,0.525,0.45499999999999996,0.06000000000000001,7
4.162489700317383,0.2357310810895027,0.012231540679931641,0.0015133683370535,0.1,100,"{'learning_rate': 0.1, 'n_estimators': 100}",0.525,0.525,0.45,0.525,0.45,0.495,0.03674234614174768,6
8.030726289749145,0.320625591163441,0.024311351776123046,0.0038030656459379095,0.1,200,"{'learning_rate': 0.1, 'n_estimators': 200}",0.5,0.55,0.375,0.5,0.575,0.5,0.06892024376045111,5
2.0568716049194338,0.2493170389427961,0.006705141067504883,0.0008687969960443519,0.5,50,"{'learning_rate': 0.5, 'n_estimators': 50}",0.4,0.375,0.5,0.6,0.375,0.45,0.08803408430829504,8
4.064867782592773,0.2863320207454108,0.012350940704345703,0.0018707469991971625,0.5,100,"{'learning_rate': 0.5, 'n_estimators': 100}",0.525,0.475,0.5,0.55,0.65,0.5399999999999999,0.060415229867972875,4
7.613242721557617,0.2293584034224509,0.01639080047607422,0.002996753006583886,0.5,200,"{'learning_rate': 0.5, 'n_estimators': 200}",0.575,0.525,0.6,0.525,0.625,0.5700000000000001,0.03999999999999999,2
2.0253294944763183,0.14929108988219486,0.006859016418457031,0.0009293417173571764,1.0,50,"{'learning_rate': 1.0, 'n_estimators': 50}",0.45,0.3,0.425,0.45,0.575,0.44000000000000006,0.0874642784226795,9
4.0204263687133786,0.11661686624504958,0.00851907730102539,0.0015923190914940383,1.0,100,"{'learning_rate': 1.0, 'n_estimators': 100}",0.575,0.475,0.6,0.6,0.55,0.5599999999999999,0.046368092477478515,3
6.5950782775878904,0.28831894272487885,0.014307880401611328,0.0001510586401052577,1.0,200,"{'learning_rate': 1.0, 'n_estimators': 200}",0.65,0.525,0.6,0.675,0.65,0.62,0.05338539126015657,1
