mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.20053811073303224,0.020645659064827758,0.002519512176513672,0.00040625970684430803,,50,"{'max_depth': None, 'n_estimators': 50}",0.925,0.85,0.875,0.975,0.85,0.8949999999999999,0.048476798574163295,8
0.42756361961364747,0.06320908960276048,0.0041996479034423825,0.0010031153109762295,,100,"{'max_depth': None, 'n_estimators': 100}",0.95,0.875,0.975,0.975,0.85,0.925,0.05244044240850757,1
0.802952241897583,0.06414182284960462,0.0067329883575439455,0.0014434660951446415,,200,"{'max_depth': None, 'n_estimators': 200}",0.95,0.875,0.95,0.975,0.875,0.925,0.04183300132670376,1
0.18719983100891113,0.0017125217421905484,0.0024763107299804687,0.00025443172869310244,10,50,"{'max_depth': 10, 'n_estimators': 50}",0.9,0.875,0.875,0.975,0.875,0.9,0.03872983346207416,7
0.395217752456665,0.045782629149414764,0.003666973114013672,0.0008436486965836481,10,100,"{'max_depth': 10, 'n_estimators': 100}",0.925,0.85,0.925,0.975,0.85,0.905,0.0484767985741633,6
0.7562786102294922,0.043354640222691754,0.004988622665405273,0.002113779012969437,10,200,"{'max_depth': 10, 'n_estimators': 200}",0.925,0.875,0.925,0.975,0.875,0.915,0.03741657386773941,5
0.2034529209136963,0.02367598899756543,0.002337026596069336,0.0004552698852302239,20,50,"{'max_depth': 20, 'n_estimators': 50}",0.925,0.85,0.875,0.975,0.85,0.8949999999999999,0.048476798574163295,8
0.3855781078338623,0.03818005520962036,0.003212451934814453,0.0012170631745111358,20,100,"{'max_depth': 20, 'n_estimators': 100}",0.95,0.875,0.975,0.975,0.85,0.925,0.05244044240850757,1
0.5940473556518555,0.026734843805279622,0.0033351421356201173,5.4971404055164624e-05,20,200,"{'max_depth': 20, 'n_estimators': 200}",0.95,0.875,0.95,0.975,0.875,0.925,0.04183300132670376,1
