mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__activation,param_clf__alpha,param_clf__hidden_layer_sizes,param_clf__learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.25765347480773926,0.03755321667088975,0.005238819122314453,0.0009673232687429841,relu,0.01,"(15,)",0.01,"{'clf__activation': 'relu', 'clf__alpha': 0.01, 'clf__hidden_layer_sizes': (15,), 'clf__learning_rate_init': 0.01}",0.95,0.875,0.9,0.925,0.9,0.9100000000000001,0.02549509756796391,40
1.4838174819946288,0.04696393151177985,0.005626296997070313,0.0010087087292294373,relu,0.01,"(15, 10)",0.001,"{'clf__activation': 'relu', 'clf__alpha': 0.01, 'clf__hidden_layer_sizes': (15, 10), 'clf__learning_rate_init': 0.001}",1.0,0.875,0.95,0.925,0.875,0.925,0.04743416490252569,29
0.42671971321105956,0.05105455365076584,0.005050945281982422,0.000969516719654917,relu,0.01,"(15, 10)",0.01,"{'clf__activation': 'relu', 'clf__alpha': 0.01, 'clf__hidden_layer_sizes': (15, 10), 'clf__learning_rate_init': 0.01}",0.95,0.9,0.925,0.925,0.9,0.9200000000000002,0.018708286933869687,31
0.6635573863983154,0.024765362882178316,0.006458187103271484,0.0009301814573626662,relu,0.01,50,0.001,"{'clf__activation': 'relu', 'clf__alpha': 0.01, 'clf__hidden_layer_sizes': 50, 'clf__learning_rate_init': 0.001}",0.975,0.9,0.975,0.95,0.85,0.9299999999999999,0.04847679857416328,26
0.3054073333740234,0.0124313512390988,0.006150293350219727,0.00040219224078963406,relu,0.01,50,0.01,"{'clf__activation': 'relu', 'clf__alpha': 0.01, 'clf__hidden_layer_sizes': 50, 'clf__learning_rate_init': 0.01}",0.875,0.9,0.975,0.925,0.875,0.9099999999999999,0.03741657386773941,42
2.7289796352386473,0.04980333534402384,0.004734849929809571,0.0005072627127519795,tanh,0.0001,"(20,)",0.001,"{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (20,), 'clf__learning_rate_init': 0.001}",1.0,0.925,0.975,0.9,0.875,0.9349999999999999,0.04636809247747851,14
0.8819675445556641,0.05409659706380508,0.0049321651458740234,0.00059660227608584,tanh,0.0001,"(20,)",0.01,"{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (20,), 'clf__learning_rate_init': 0.01}",0.975,0.925,0.95,0.95,0.875,0.9349999999999999,0.03391164991562633,14
3.2329145431518556,0.06556599602560828,0.005350637435913086,0.0004620513778071252,tanh,0.0001,"(15,)",0.001,"{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (15,), 'clf__learning_rate_init': 0.001}",1.0,0.925,0.95,0.975,0.9,0.95,0.03535533905932736,4
0.9870872974395752,0.0579440525639489,0.005188131332397461,0.0011992077375969433,tanh,0.0001,"(15,)",0.01,"{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (15,), 'clf__learning_rate_init': 0.01}",0.975,0.975,0.975,0.975,0.9,0.96,0.02999999999999998,3
6.167548274993896,0.22617480286802288,0.005909585952758789,0.002054393386620848,tanh,0.0001,"(15, 10)",0.001,"{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (15, 10), 'clf__learning_rate_init': 0.001}",0.9,1.0,0.95,0.95,0.875,0.9349999999999999,0.043588989435406726,14
1.66047101020813,0.04046862089583592,0.00540924072265625,0.000699812653055243,tanh,0.0001,"(15, 10)",0.01,"{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (15, 10), 'clf__learning_rate_init': 0.01}",0.95,0.9,0.95,0.95,0.9,0.93,0.024494897427831747,23
1.1277901172637939,0.041245869645509775,0.006836986541748047,0.0016346748563672373,tanh,0.0001,50,0.001,"{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': 50, 'clf__learning_rate_init': 0.001}",0.975,0.925,0.975,1.0,0.85,0.945,0.05338539126015655,7
0.8071716785430908,0.03575827105100153,0.005781984329223633,0.0008223361650889608,tanh,0.0001,50,0.01,"{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': 50, 'clf__learning_rate_init': 0.01}",0.975,0.925,0.975,0.95,0.875,0.9400000000000001,0.037416573867739396,10
2.7729312896728517,0.07876488105138993,0.004738330841064453,0.00038779313620021484,tanh,0.001,"(20,)",0.001,"{'clf__activation': 'tanh', 'clf__alpha': 0.001, 'clf__hidden_layer_sizes': (20,), 'clf__learning_rate_init': 0.001}",1.0,0.925,0.975,0.9,0.875,0.9349999999999999,0.04636809247747851,14
0.870469617843628,0.034563173988046064,0.00546417236328125,0.000607037536291029,tanh,0.001,"(20,)",0.01,"{'clf__activation': 'tanh', 'clf__alpha': 0.001, 'clf__hidden_layer_sizes': (20,), 'clf__learning_rate_init': 0.01}",0.975,0.925,0.95,0.95,0.875,0.9349999999999999,0.03391164991562633,14
3.2522818088531493,0.07072301588950604,0.005474996566772461,0.001786970483859176,tanh,0.001,"(15,)",0.001,"{'clf__activation': 'tanh', 'clf__alpha': 0.001, 'clf__hidden_layer_sizes': (15,), 'clf__learning_rate_init': 0.001}",1.0,0.925,0.95,0.975,0.9,0.95,0.03535533905932736,4
