mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.21193900108337402,0.03377282163385999,0.0027112960815429688,0.0006189803847166823,,50,"{'max_depth': None, 'n_estimators': 50}",0.925,0.85,0.875,0.975,0.85,0.8949999999999999,0.048476798574163295,8
0.40500521659851074,0.0533477396458566,0.004038810729980469,0.000772672322183116,,100,"{'max_depth': None, 'n_estimators': 100}",0.95,0.875,0.975,0.975,0.85,0.925,0.05244044240850757,1
0.7738498687744141,0.03940170820547337,0.005681610107421875,0.00014850002972355994,,200,"{'max_depth': None, 'n_estimators': 200}",0.95,0.875,0.95,0.975,0.875,0.925,0.04183300132670376,1
0.18433494567871095,0.0020956293046648644,0.0025690078735351564,0.0008616500937713293,10,50,"{'max_depth': 10, 'n_estimators': 50}",0.9,0.875,0.875,0.975,0.875,0.9,0.03872983346207416,7
0.4109889030456543,0.05440194575024539,0.003657627105712891,0.0008309606455341105,10,100,"{'max_depth': 10, 'n_estimators': 100}",0.925,0.85,0.925,0.975,0.85,0.905,0.0484767985741633,6
0.7979100704193115,0.047139402702436675,0.006291103363037109,0.002747048188592525,10,200,"{'max_depth': 10, 'n_estimators': 200}",0.925,0.875,0.925,0.975,0.875,0.915,0.03741657386773941,5
0.20961380004882812,0.027981060525600586,0.002615690231323242,0.0005507994705161993,20,50,"{'max_depth': 20, 'n_estimators': 50}",0.925,0.85,0.875,0.975,0.85,0.8949999999999999,0.048476798574163295,8
0.38795318603515627,0.04528902381043895,0.0037393093109130858,0.001116557763948628,20,100,"{'max_depth': 20, 'n_estimators': 100}",0.95,0.875,0.975,0.975,0.85,0.925,0.05244044240850757,1
0.5858651161193847,0.023714237385673933,0.003275012969970703,9.556411488610925e-05,20,200,"{'max_depth': 20, 'n_estimators': 200}",0.95,0.875,0.95,0.975,0.875,0.925,0.04183300132670376,1
