mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__activation,param_clf__alpha,param_clf__hidden_layer_sizes,param_clf__learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.2559898853302002,0.020901807474811133,0.004628038406372071,0.0003513483475156208,relu,0.01,"(15,)",0.01,"{'clf__activation': 'relu', 'clf__alpha': 0.01, 'clf__hidden_layer_sizes': (15,), 'clf__learning_rate_init': 0.01}",0.95,0.875,0.9,0.925,0.9,0.9100000000000001,0.02549509756796391,40
1.5047564506530762,0.07416486281746498,0.005671644210815429,0.0010760608315748055,relu,0.01,"(15, 10)",0.001,"{'clf__activation': 'relu', 'clf__alpha': 0.01, 'clf__hidden_layer_sizes': (15, 10), 'clf__learning_rate_init': 0.001}",1.0,0.875,0.95,0.925,0.875,0.925,0.04743416490252569,29
0.42914466857910155,0.06282008267650513,0.004875469207763672,0.0005922950259328428,relu,0.01,"(15, 10)",0.01,"{'clf__activation': 'relu', 'clf__alpha': 0.01, 'clf__hidden_layer_sizes': (15, 10), 'clf__learning_rate_init': 0.01}",0.95,0.9,0.925,0.925,0.9,0.9200000000000002,0.018708286933869687,31
0.6332760810852051,0.03180402996009951,0.005905342102050781,0.001079285556601066,relu,0.01,50,0.001,"{'clf__activation': 'relu', 'clf__alpha': 0.01, 'clf__hidden_layer_sizes': 50, 'clf__learning_rate_init': 0.001}",0.975,0.9,0.975,0.95,0.85,0.9299999999999999,0.04847679857416328,26
0.2958859920501709,0.011851522906035555,0.006160259246826172,0.001849877006156442,relu,0.01,50,0.01,"{'clf__activation': 'relu', 'clf__alpha': 0.01, 'clf__hidden_layer_sizes': 50, 'clf__learning_rate_init': 0.01}",0.875,0.9,0.975,0.925,0.875,0.9099999999999999,0.03741657386773941,42
2.7091229438781737,0.07823396757250219,0.005081844329833984,0.0005495787158166893,tanh,0.0001,"(20,)",0.001,"{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (20,), 'clf__learning_rate_init': 0.001}",1.0,0.925,0.975,0.9,0.875,0.9349999999999999,0.04636809247747851,14
0.865464162826538,0.05843612728995873,0.005315446853637695,0.0009790133501405068,tanh,0.0001,"(20,)",0.01,"{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (20,), 'clf__learning_rate_init': 0.01}",0.975,0.925,0.95,0.95,0.875,0.9349999999999999,0.03391164991562633,14
3.2141041278839113,0.14112699813740742,0.00528411865234375,0.0018128944993978657,tanh,0.0001,"(15,)",0.001,"{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (15,), 'clf__learning_rate_init': 0.001}",1.0,0.925,0.95,0.975,0.9,0.95,0.03535533905932736,4
1.0034803390502929,0.049682013145991875,0.005107355117797851,0.00045467515471226126,tanh,0.0001,"(15,)",0.01,"{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (15,), 'clf__learning_rate_init': 0.01}",0.975,0.975,0.975,0.975,0.9,0.96,0.02999999999999998,3
6.328708219528198,0.11498625443004094,0.005267715454101563,0.0005138941462013532,tanh,0.0001,"(15, 10)",0.001,"{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (15, 10), 'clf__learning_rate_init': 0.001}",0.9,1.0,0.95,0.95,0.875,0.9349999999999999,0.043588989435406726,14
1.7210216522216797,0.1580414787874456,0.004475450515747071,0.00029170614385799445,tanh,0.0001,"(15, 10)",0.01,"{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (15, 10), 'clf__learning_rate_init': 0.01}",0.95,0.9,0.95,0.95,0.9,0.93,0.024494897427831747,23
1.1314290523529054,0.04486244305754328,0.00891871452331543,0.005597005090863263,tanh,0.0001,50,0.001,"{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': 50, 'clf__learning_rate_init': 0.001}",0.975,0.925,0.975,1.0,0.85,0.945,0.05338539126015655,7
0.798334789276123,0.03185033831249071,0.006174802780151367,0.0016195026024117718,tanh,0.0001,50,0.01,"{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': 50, 'clf__learning_rate_init': 0.01}",0.975,0.925,0.975,0.95,0.875,0.9400000000000001,0.037416573867739396,10
2.7043843269348145,0.09422715944972218,0.004512643814086914,0.0002679326988622622,tanh,0.001,"(20,)",0.001,"{'clf__activation': 'tanh', 'clf__alpha': 0.001, 'clf__hidden_layer_sizes': (20,), 'clf__learning_rate_init': 0.001}",1.0,0.925,0.975,0.9,0.875,0.9349999999999999,0.04636809247747851,14
