mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.18832616806030272,0.004574426967131641,0.0007424831390380859,1.9108858687564366e-05,gini,10,1,5,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.6,0.6,0.6,0.525,0.625,0.59,0.03391164991562633,3
0.23378376960754393,0.04154770105571193,0.0008615493774414062,9.286697160247434e-05,gini,10,1,10,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.6,0.6,0.6,0.475,0.625,0.58,0.05338539126015657,8
0.18715825080871581,0.004784058273378459,0.0007581710815429688,1.6203344810078568e-05,gini,10,2,2,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.575,0.575,0.575,0.5,0.6,0.565,0.03391164991562633,61
0.18917903900146485,0.010939803630138908,0.0007964611053466797,5.4513061679067776e-05,gini,10,2,5,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.575,0.575,0.6,0.525,0.6,0.575,0.02738612787525829,10
0.20835633277893068,0.03410740417887752,0.0008052825927734375,7.719367698758714e-05,gini,10,2,10,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.575,0.575,0.6,0.5,0.6,0.5700000000000001,0.03674234614174766,32
0.21374812126159667,0.03891286415777028,0.0008509635925292968,7.185247738894317e-05,gini,10,4,2,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.6,0.55,0.6,0.525,0.6,0.575,0.03162277660168377,10
0.17928543090820312,0.004813096113660867,0.0007837295532226562,1.5635169759744743e-05,gini,10,4,5,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.6,0.55,0.6,0.525,0.6,0.575,0.03162277660168377,10
0.2102755069732666,0.0292948272277809,0.0008653640747070312,7.36373989839797e-05,gini,10,4,10,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.6,0.55,0.6,0.525,0.6,0.575,0.03162277660168377,10
0.19848179817199707,0.009259767356294126,0.0007246017456054687,2.2276717478162523e-05,gini,20,1,2,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.6,0.55,0.65,0.5,0.675,0.595,0.0640312423743285,1
0.1957536220550537,0.003108584769627439,0.0008004188537597656,6.0095179979320814e-05,gini,20,1,5,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.625,0.525,0.55,0.5,0.625,0.5650000000000001,0.051478150704935,45
